Description,Designator,Packing,Value,QTY/Board,Manufacturer Part #,Supplier Part #,Supplier Link,Comment,Packaging,Order Quantity,Order Cost
RGB LED,D101-D104,Gull Wing 4pin,RGB_LED,4,XZMDKCBDDG45S-9 ,1497-1257-2-ND,https://www.digikey.com/product-detail/en/sunled/XZMDKCBDDG45S-9/1497-1257-2-ND/4902045,,Tape & Reel,2000,$859.18
Yellow LED,D1-D12,Gull Wing 2pin,YLW_LED,12,LY T776-S1T1-26-Z ,475-2801-2-ND ,https://www.digikey.com/product-detail/en/osram-opto-semiconductors-inc/LY-T776-S1T1-26-Z/475-2801-2-ND/1938832,,Tape & Reel,6000,$744.21
Zener Diodes,D13 D14,SOD323,D_Zener,2, MM3Z3V6T1G ,MM3Z3V6T1GOSDKR-ND ,https://www.digikey.com/product-detail/en/on-semiconductor/MM3Z3V6T1G/MM3Z3V6T1GOSDKR-ND/2623525,,Digi-Reel,1000,$39.45
Resistors,R1-R4 R101-R104,SMD 0603,100R,8, CRGCQ0603J100R ,A130085TR-ND ,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRGCQ0603J100R/A130085TR-ND/8576687,or similar replacement,Tape & Reel,5000,$12.64
Resistors,R5 R6,SMD 0603,51R,2,CR0603-JW-510ELF ,CR0603-JW-510ELFTR-ND ,https://www.digikey.com/product-detail/en/bourns-inc/CR0603-JW-510ELF/CR0603-JW-510ELFTR-ND/3784392,or similar replacement,Tape & Reel,5000,$9.41
Resistors,R7,SMD 0603,1K,1,RC0603JR-071KL ,311-1.0KGRTR-ND ,https://www.digikey.com/product-detail/en/yageo/RC0603JR-071KL/311-1.0KGRTR-ND/726677,or similar replacement,Tape & Reel,5000,$12.89
Bypass Cap,C1,SMD 0805,10uF,1, CL21A106KPCLQNC , 1276-2402-6-ND ,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KPCLQNC/1276-2402-6-ND/3892917,or similar replacement,Digi-Reel,500,$34.76
Bypass Cap,C2,SMD 0603,0.1uF,1,CL10F104ZB8NNNC,1276-1012-6-ND,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10F104ZB8NNNC/1276-1012-6-ND/3891526,or similar replacement,Digi-Reel,500,$13.04
Battery Retainer,BT1,SMD 2pin,Battery_Cell,1,3034TR,36-3034TR-ND,https://www.digikey.com/product-detail/en/keystone-electronics/3034TR/36-3034TR-ND/4499408,,Tape & Reel,500,$156.75
MCU,U1,SOIC 20pin,ATTINY861-15XD ,1,ATTINY861A-XUR ,ATTINY861A-XURDKR-ND ,https://www.digikey.com/product-detail/en/microchip-technology/ATTINY861A-XUR/ATTINY861A-XURDKR-ND/2774638,,Digi-Reel,500,$583.80
Switch,SW1 SW2,Gull Wing 4pin,PTS645SM43SMTR92_LFS,2,PTS645SM43SMTR92 LFS ,CKN9112TR-ND,https://www.digikey.com/product-detail/en/c-k/PTS645SM43SMTR92-LFS/CKN9112TR-ND/1146840,,Tape & Reel,1000,$99.06
Connector,J2,SMD,USB_B_Micro,1,10118192-0001LF ,609-4613-6-ND ,https://www.digikey.com/product-detail/en/amphenol-fci/10118192-0001LF/609-4613-6-ND/2785379,,Digi-Reel,500,$138.01
lanyard,N/A,N/A,N/A,1,N/A,N/A,TBD,,Bulk Bag,,
battery,N/A,CR2032,3V,1,N/A,N/A,ebay.com/itm/1000-X-CR2032-2032-DL2032-LM2032-BR2032-Ultra-Power-bulk-3V-lithium-battery-/222282215964,,Bulk Tray,,
,,,,,,,,,,,"$2,703.20"
,,,,,,,,,,,
MCU,U1,SOIC 20pin,ATTINY861-15XD ,1,ATTINY861-15XD,1611-ATTINY861-15XDCT-ND,https://www.digikey.com/product-detail/en/microchip-technology/ATTINY861-15XD/1611-ATTINY861-15XDCT-ND/6833287,We have this part as cut tape,cut tape,500,
